id  ,pair       ,price     ,units               ,total_price         ,currency,unixtime     ,status,action,related,profit
6347,B-FTM_BTC  ,3.32e-06  ,30.120481927710845  ,0.0001              ,BTC     ,1612077300000,DONE  ,BUY   ,6384   ,N/A
6348,B-ETC_BTC  ,0.0002241 ,0.4462293618920125  ,0.0001              ,BTC     ,1612133100000,DONE  ,BUY   ,-1     ,N/A
6349,B-SNX_BTC  ,0.0005445 ,0.18365472910927458 ,0.0001              ,BTC     ,1612087800000,DONE  ,BUY   ,6351   ,N/A
6350,B-COMP_BTC ,0.009309  ,0.01074229240519927 ,0.0001              ,BTC     ,1612095900000,DONE  ,BUY   ,6380   ,N/A
6351,B-SNX_BTC  ,0.0005695 ,0.18365472910927458 ,0.000104591368227732,BTC     ,1612094700000,DONE  ,SELL  ,-1     ,4.591368227731873
6352,B-BQX_ETH  ,0.002291  ,4.761904761904761   ,0.0109095238095238  ,ETH     ,1612101300000,DONE  ,SELL  ,-1     ,9.09523809523808
6353,B-ADA_BTC  ,1.043e-05 ,9.587727708533079   ,0.0001              ,BTC     ,1612104000000,DONE  ,BUY   ,6356   ,N/A
6354,B-ADA_BTC  ,1.036e-05 ,9.652509652509652   ,0.0001              ,BTC     ,1612106100000,DONE  ,BUY   ,6356   ,N/A
6355,B-SNGLS_BTC,2.3e-07   ,434.7826086956522   ,0.0001              ,BTC     ,1612054200000,DONE  ,BUY   ,-1     ,N/A
6356,B-ADA_BTC  ,1.067e-05 ,47.75951615848239   ,0.000509594037411007,BTC     ,1612116300000,DONE  ,SELL  ,-1     ,1.9188074822014096
6357,B-FUN_BTC  ,8.8e-07   ,250.03906860446943  ,0.000220034380371933,BTC     ,1612116600000,DONE  ,SELL  ,-1     ,10.017190185966554
6358,B-FTM_BTC  ,3.2e-06   ,31.250000000000004  ,0.0001              ,BTC     ,1612084500000,DONE  ,BUY   ,6384   ,N/A
6359,B-SNGLS_BTC,2.2e-07   ,454.54545454545456  ,0.0001              ,BTC     ,1612056000000,DONE  ,BUY   ,-1     ,N/A
6360,B-RUNE_BTC ,0.00011385,0.8783487044356609  ,0.0001              ,BTC     ,1612064100000,DONE  ,BUY   ,6406   ,N/A
6361,B-SNX_BTC  ,0.0005489 ,0.18218254691200586 ,0.0001              ,BTC     ,1612102500000,DONE  ,BUY   ,-1     ,N/A
6362,B-BQX_ETH  ,0.00205   ,4.878048780487805   ,0.01                ,ETH     ,1612116000000,DONE  ,BUY   ,6373   ,N/A
6363,B-VIB_ETH  ,2.139e-05 ,467.50818139317437  ,0.01                ,ETH     ,1612074900000,DONE  ,BUY   ,6375   ,N/A
